market,generator,candidate_pool,G,agg,agg_label,n_seeds,total_mean,total_std,sharpe_mean,sharpe_std,turnover_mean,source_dir
CSI500,SS-FM,Meta,32,mean,Mean,20,0.5051315291081032,0.0268042201275328,2.4060002343846136,0.1323052299772098,0.4547253683816799,results/CSI500/strict_fixed_oos_ssfm_stability_meta_seeds/
CSI500,SS-FM,Meta,32,topk,Top-k,20,0.4258196496460556,0.080174892645484,1.4827827257340949,0.2663602472814176,0.6100210254562403,results/CSI500/strict_fixed_oos_ssfm_stability_meta_seeds/
CSI500,SS-FM,Meta,32,softmax,Softmax,20,0.5050817251325322,0.0267902016113095,2.405541506540517,0.1322564878034714,0.4546718402707896,results/CSI500/strict_fixed_oos_ssfm_stability_meta_seeds/
CSI500,SS-FM,Meta,64,pred_utility,Pred-Utility,20,0.466282046367666,0.1988185684420597,1.2077142324065444,0.4855711423122579,0.7050842986991037,results/CSI500/strict_fixed_oos_ssfm_stability_meta_seeds/
CSI500,SS-FM,Meta,64,mean,Mean,20,0.5107539548803618,0.0212766150677913,2.4294728216125185,0.1080392516446386,0.4458377674418757,results/CSI500/strict_fixed_oos_ssfm_stability_meta_seeds/
CSI500,SS-FM,Meta,64,topk,Top-k,20,0.4897456085023812,0.144449281834666,1.569828944393428,0.4366296077997963,0.602091690511534,results/CSI500/strict_fixed_oos_ssfm_stability_meta_seeds/
CSI500,SS-FM,Meta,64,softmax,Softmax,20,0.5107485132402938,0.021236935271012,2.429200712567432,0.1078443197001484,0.4457811021778339,results/CSI500/strict_fixed_oos_ssfm_stability_meta_seeds/
CSI500,SS-FM,Meta,128,pred_utility,Pred-Utility,20,0.4882211223098004,0.1454555120897344,1.2342535589839625,0.3531384126072895,0.6678613873222824,results/CSI500/strict_fixed_oos_ssfm_stability_meta_seeds/
CSI500,SS-FM,Meta,128,mean,Mean,20,0.510978569582942,0.014378695120416,2.428364287650888,0.0688788681042825,0.4393402304728862,results/CSI500/strict_fixed_oos_ssfm_stability_meta_seeds/
CSI500,SS-FM,Meta,128,topk,Top-k,20,0.5136296248798196,0.1104823906162723,1.556415385816695,0.3398184543213227,0.5858389539010462,results/CSI500/strict_fixed_oos_ssfm_stability_meta_seeds/
CSI500,SS-FM,Meta,128,softmax,Softmax,20,0.5109700720489155,0.0143605705476908,2.428088496342006,0.0687702175399062,0.4392836430844716,results/CSI500/strict_fixed_oos_ssfm_stability_meta_seeds/
CSI500,Diffusion,Pure,8,pred_utility,Pred-Utility,20,0.5731608948777269,0.2213811392944269,1.3957237914861689,0.5561792545676612,0.7852337304796714,results/CSI500/strict_fixed_oos_diff_stability_seeds/
CSI500,Diffusion,Pure,8,mean,Mean,20,0.5331178741882145,0.0827868325243763,2.2365628592768307,0.3430198534684039,0.5313640129455603,results/CSI500/strict_fixed_oos_diff_stability_seeds/
CSI500,Diffusion,Pure,8,topk,Top-k,20,0.5347580588791522,0.1235917565758546,1.8397078651243424,0.4281535937471832,0.6535703003518518,results/CSI500/strict_fixed_oos_diff_stability_seeds/
CSI500,Diffusion,Pure,8,softmax,Softmax,20,0.5335235831437142,0.0826963658471012,2.2371869461742704,0.3425837501473178,0.5313389309136365,results/CSI500/strict_fixed_oos_diff_stability_seeds/
CSI500,Diffusion,Pure,32,pred_utility,Pred-Utility,20,0.792560798083514,0.2977596837558756,1.6064414038732404,0.5859814538644957,0.6391195195092007,results/CSI500/strict_fixed_oos_diff_stability_seeds/
CSI500,Diffusion,Pure,32,mean,Mean,20,0.537246130528034,0.0377053047755887,2.3868423208612035,0.1549521052372309,0.3156790280899398,results/CSI500/strict_fixed_oos_diff_stability_seeds/
CSI500,Diffusion,Pure,32,topk,Top-k,20,0.6879128514397557,0.1862382850188147,1.9022765926060836,0.5216219017034754,0.5824766291637437,results/CSI500/strict_fixed_oos_diff_stability_seeds/
CSI500,Diffusion,Pure,32,softmax,Softmax,20,0.5375325378987914,0.0377411305304858,2.387134783073794,0.1551471188784667,0.3156458089302985,results/CSI500/strict_fixed_oos_diff_stability_seeds/
CSI500,Diffusion,Pure,64,pred_utility,Pred-Utility,20,0.8284659354734328,0.2692779361057856,1.545533362220529,0.4886379276286151,0.5153821537005605,results/CSI500/strict_fixed_oos_diff_stability_seeds/
CSI500,Diffusion,Pure,64,mean,Mean,20,0.5447603972683784,0.0291702665278335,2.445669627329109,0.1253922809941114,0.2395292689703441,results/CSI500/strict_fixed_oos_diff_stability_seeds/
CSI500,Diffusion,Pure,64,topk,Top-k,20,0.790176255298387,0.131823702773791,1.8738450114072784,0.3307677592233675,0.514104947766274,results/CSI500/strict_fixed_oos_diff_stability_seeds/
CSI500,Diffusion,Pure,64,softmax,Softmax,20,0.5450562428512136,0.0291815465173784,2.4460223225016136,0.1254705669136288,0.2395045660434621,results/CSI500/strict_fixed_oos_diff_stability_seeds/
CSI500,Diffusion,Pure,128,pred_utility,Pred-Utility,20,0.9017869626396704,0.2561375570298182,1.521034617271208,0.4037555332831852,0.3800508544611556,results/CSI500/strict_fixed_oos_diff_stability_seeds/
CSI500,Diffusion,Pure,128,mean,Mean,20,0.5530984399075847,0.0243980350470644,2.4974545988051315,0.1115948158677335,0.1864603992142243,results/CSI500/strict_fixed_oos_diff_stability_seeds/
CSI500,Diffusion,Pure,128,topk,Top-k,20,0.8303064036384651,0.1669754619383213,1.683329207843122,0.3366146038385021,0.4242204335409038,results/CSI500/strict_fixed_oos_diff_stability_seeds/
CSI500,Diffusion,Pure,128,softmax,Softmax,20,0.5533714194438383,0.0244362675658024,2.4977040799369923,0.1117352367738223,0.186438171322187,results/CSI500/strict_fixed_oos_diff_stability_seeds/
CSI500,FM,Pure,8,pred_utility,Pred-Utility,20,0.5065987594619653,0.0963931185775188,2.065245671253895,0.3784514059767129,0.4991576160673494,results/CSI500/strict_fixed_oos_fm_stability_seeds/
CSI500,FM,Pure,8,mean,Mean,20,0.522096160346664,0.0297410855574911,2.447888492680089,0.1338021789292717,0.2402384326032344,results/CSI500/strict_fixed_oos_fm_stability_seeds/
CSI500,FM,Pure,8,topk,Top-k,20,0.5145536138125291,0.0509638984580222,2.3033373040042657,0.2047285088174254,0.3378154895665809,results/CSI500/strict_fixed_oos_fm_stability_seeds/
CSI500,FM,Pure,8,softmax,Softmax,20,0.5221192789671228,0.0297494307083072,2.447906231038824,0.1338025935348203,0.2402359127679458,results/CSI500/strict_fixed_oos_fm_stability_seeds/
CSI500,FM,Pure,32,pred_utility,Pred-Utility,20,0.5451098396096146,0.0832139583934556,2.083713677059541,0.3003927995791453,0.4994519679681854,results/CSI500/strict_fixed_oos_fm_stability_seeds/
CSI500,FM,Pure,32,mean,Mean,20,0.5255596820951862,0.0120266165235208,2.4885571229517485,0.0581168361425704,0.1475875598070048,results/CSI500/strict_fixed_oos_fm_stability_seeds/
CSI500,FM,Pure,32,topk,Top-k,20,0.5321937718144256,0.039248367248277,2.268996541947322,0.1653976686883075,0.3399871059971912,results/CSI500/strict_fixed_oos_fm_stability_seeds/
CSI500,FM,Pure,32,softmax,Softmax,20,0.525591764976216,0.0120284258564006,2.488622364756226,0.058119094308577,0.1475851887509701,results/CSI500/strict_fixed_oos_fm_stability_seeds/
CSI500,FM,Pure,64,pred_utility,Pred-Utility,20,0.5922358299196786,0.1065476165752349,2.171055789828663,0.4026551984549682,0.4988795586055636,results/CSI500/strict_fixed_oos_fm_stability_seeds/
CSI500,FM,Pure,64,mean,Mean,20,0.529653454022492,0.0091387883913871,2.5124796013411577,0.0452166033876771,0.1215443799557954,results/CSI500/strict_fixed_oos_fm_stability_seeds/
CSI500,FM,Pure,64,topk,Top-k,20,0.5666500891270274,0.0456635409297883,2.331625244877229,0.2029279633444512,0.3422662875211784,results/CSI500/strict_fixed_oos_fm_stability_seeds/
CSI500,FM,Pure,64,softmax,Softmax,20,0.5296857045617618,0.0091372865439307,2.512542667442484,0.0452070726134849,0.1215418546127108,results/CSI500/strict_fixed_oos_fm_stability_seeds/
CSI500,FM,Pure,128,pred_utility,Pred-Utility,20,0.6078554021103008,0.1297716995640865,2.115546500958452,0.4411693847799067,0.4990559733975457,results/CSI500/strict_fixed_oos_fm_stability_seeds/
CSI500,FM,Pure,128,mean,Mean,20,0.5274302613059183,0.0066856299390024,2.5020679399356025,0.029568966069615,0.1049414120524068,results/CSI500/strict_fixed_oos_fm_stability_seeds/
CSI500,FM,Pure,128,topk,Top-k,20,0.5813506939176886,0.0758600339718457,2.295251504768117,0.2867330400430574,0.3458017068270179,results/CSI500/strict_fixed_oos_fm_stability_seeds/
CSI500,FM,Pure,128,softmax,Softmax,20,0.5274640307581264,0.0066888061432143,2.502138950424843,0.029579783204409,0.1049394980069216,results/CSI500/strict_fixed_oos_fm_stability_seeds/
CSI500,SS-FM,Pure,8,pred_utility,Pred-Utility,20,0.4749872232180154,0.1548503127529344,1.6195175830372317,0.5504780041788151,0.6957052787628824,results/CSI500/strict_fixed_oos_ssfm_stability_seeds/
CSI500,SS-FM,Pure,8,mean,Mean,20,0.523124766782089,0.0684441900038132,2.3823671900887824,0.2986507717778388,0.5131940865623146,results/CSI500/strict_fixed_oos_ssfm_stability_seeds/
CSI500,SS-FM,Pure,8,topk,Top-k,20,0.4745057605755914,0.1196448535053398,1.9725458179872608,0.4796834522699943,0.5620466835416547,results/CSI500/strict_fixed_oos_ssfm_stability_seeds/
CSI500,SS-FM,Pure,8,softmax,Softmax,20,0.5230920273046651,0.0684669582251375,2.382106821790754,0.2987381438574329,0.513146334032764,results/CSI500/strict_fixed_oos_ssfm_stability_seeds/
CSI500,SS-FM,Pure,32,pred_utility,Pred-Utility,20,0.4156085208100196,0.1553327934339924,1.218851126409009,0.4313483012208585,0.6866310174621196,results/CSI500/strict_fixed_oos_ssfm_stability_seeds/
CSI500,SS-FM,Pure,32,mean,Mean,20,0.5103287505117271,0.0293216819423908,2.3937605333093552,0.1417408911673542,0.4633930238806325,results/CSI500/strict_fixed_oos_ssfm_stability_seeds/
CSI500,SS-FM,Pure,32,topk,Top-k,20,0.4692718757934725,0.0946860478577818,1.6556976402532526,0.3224991858130731,0.5810004951536457,results/CSI500/strict_fixed_oos_ssfm_stability_seeds/
CSI500,SS-FM,Pure,32,softmax,Softmax,20,0.5103483509410088,0.0293061568833816,2.393649568710627,0.1416913116914271,0.4633395118341574,results/CSI500/strict_fixed_oos_ssfm_stability_seeds/
CSI500,SS-FM,Pure,64,pred_utility,Pred-Utility,20,0.5478104871480567,0.1862104801260822,1.481624093569836,0.4636076453708738,0.6632471672274539,results/CSI500/strict_fixed_oos_ssfm_stability_seeds/
CSI500,SS-FM,Pure,64,mean,Mean,20,0.5133755562630067,0.0222810546068946,2.421627653817235,0.1120216047412224,0.4530279208822979,results/CSI500/strict_fixed_oos_ssfm_stability_seeds/
CSI500,SS-FM,Pure,64,topk,Top-k,20,0.5174190181751427,0.1546703377937993,1.6624227118589363,0.4684025203386041,0.5782349963505692,results/CSI500/strict_fixed_oos_ssfm_stability_seeds/
CSI500,SS-FM,Pure,64,softmax,Softmax,20,0.5134074192570671,0.0222397488122225,2.4215331229192865,0.1118209298991453,0.4529745454864753,results/CSI500/strict_fixed_oos_ssfm_stability_seeds/
